NewVisitor,Returning,GoogleCPC,BINGCPC,Facebook,Tripadvisor,Referrals,OrganicDirect,Mobile,Tablet,Desktop,Users,Sessions,PagesVisitedNumber,TransactionsNumber,Revenue
0,1,0,0,0,0,0,0,0,0,1,214,425,2240,23,20788.14
1,0,0,0,0,0,0,0,0,0,1,924,2681,6779,35,20501.57
1,0,0,0,0,0,0,0,0,0,1,10743,10757,39125,14,19800.1
1,0,0,0,0,0,0,0,1,0,0,2,2,3,1,19584
0,1,0,0,0,0,0,0,0,0,1,309,565,2557,7,19260.59
0,1,0,0,0,0,0,0,0,0,1,477,792,3232,14,18630.46
1,0,0,0,0,0,0,0,0,0,1,447,847,4142,10,18386.16
1,0,0,0,0,0,0,0,0,1,0,596,902,3073,4,17705.6
1,0,0,0,0,0,0,0,1,0,0,5345,5361,36170,2,17704.1
0,1,0,0,0,0,0,0,0,0,1,1400,1942,6929,10,17589.01
1,0,0,0,0,0,0,0,0,0,1,4,10,35,1,17220
0,1,0,0,0,0,0,0,0,0,1,483,790,3230,13,16867.92
1,0,0,0,0,0,0,0,0,0,1,647,1036,3824,10,16033.7
1,0,0,0,0,0,0,0,0,0,1,373,619,2813,9,15682.68
0,1,0,0,0,0,0,0,0,0,1,222,310,1023,10,14809.44
0,1,0,0,0,0,0,0,0,0,1,536,750,1843,15,14564.44
1,0,0,0,0,0,0,0,0,0,1,1222,1226,4206,3,14539.9
1,0,0,0,0,0,0,0,0,0,1,46,134,508,1,14202
0,1,0,0,0,0,0,0,0,0,1,287,476,1750,3,14098.3
0,1,0,0,0,0,0,0,0,0,1,5375,5379,15914,8,13739.09
1,0,0,0,0,0,0,0,0,1,0,7672,14545,55760,8,13366.81
1,0,0,0,0,0,0,0,0,0,1,254,487,2112,9,13187.88
1,0,0,0,0,0,0,0,0,0,1,6,12,60,2,12932
1,0,0,0,0,0,0,0,0,0,1,28,38,133,1,12812
1,0,0,0,0,0,0,0,0,0,1,2283,2286,8056,7,12710.51
1,0,0,0,0,0,0,0,0,0,1,523,711,2255,6,12420.77
