Tipo de usuario,NewVisitor,ReturningVisitor,Fuente/medio,Google CPC,DFA CPC,BING CPC,Facebook,Tripadvisor,Referrals,Organic / Direct,,C’_digo ISO del pa’_s,Device Type,Mobile,Tablet,Desktop,Users,Sessions,Number of Pages visited,Number of Transactions,Revenue
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,IT,mobile,1,0,0,1402,1404,6731,0,0
Returning Visitor,0,1,(direct) / (none),0,0,0,0,0,0,0,,AR,mobile,1,0,0,1360,2820,9380,0,0
Returning Visitor,0,1,(direct) / (none),0,0,0,0,0,0,0,,GB,desktop,0,0,1,1304,1784,5019,31,74064.19
Returning Visitor,0,1,(direct) / (none),0,0,0,0,0,0,0,,CA,tablet,0,1,0,1300,2153,6108,0,0
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,CL,mobile,1,0,0,1186,1195,7338,0,0
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,CH,tablet,0,1,0,1173,1174,4587,1,3628.29
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,PT,mobile,1,0,0,1130,1137,4928,0,0
Returning Visitor,0,1,(direct) / (none),0,0,0,0,0,0,0,,BR,desktop,0,0,1,1059,2370,7199,21,159718.05
Returning Visitor,0,1,(direct) / (none),0,0,0,0,0,0,0,,ES,tablet,0,1,0,1031,1857,5317,0,0
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,AR,tablet,0,1,0,916,920,4432,0,0
Returning Visitor,0,1,(direct) / (none),0,0,0,0,0,0,0,,CA,desktop,0,0,1,893,1171,4109,1,882
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,NL,mobile,1,0,0,883,885,3679,0,0
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,BE,tablet,0,1,0,843,844,2678,0,0
Returning Visitor,0,1,(direct) / (none),0,0,0,0,0,0,0,,AR,desktop,0,0,1,804,1139,4451,4,25248.7
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,IT,tablet,0,1,0,799,800,2769,0,0
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,IE,desktop,0,0,1,778,779,1616,2,2606.6
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,RU,mobile,1,0,0,775,775,2989,1,2411.96
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,NL,tablet,0,1,0,752,755,2528,0,0
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,BE,mobile,1,0,0,726,726,3072,0,0
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,PL,desktop,0,0,1,706,706,1983,1,543.6
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,IE,mobile,1,0,0,624,626,2939,0,0
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,PT,tablet,0,1,0,624,628,1997,1,939.6
Returning Visitor,0,1,(direct) / (none),0,0,0,0,0,0,0,,BR,tablet,0,1,0,596,902,3073,4,17705.6
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,AT,mobile,1,0,0,588,590,2842,2,11485.23
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,DO,desktop,0,0,1,581,585,1693,0,0
Returning Visitor,0,1,(direct) / (none),0,0,0,0,0,0,0,,FR,desktop,0,0,1,581,827,2993,21,85979.73
Returning Visitor,0,1,(direct) / (none),0,0,0,0,0,0,0,,FR,tablet,0,1,0,555,926,2798,0,0
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,SE,desktop,0,0,1,538,538,1266,2,2143.32
Returning Visitor,0,1,(direct) / (none),0,0,0,0,0,0,0,,FR,mobile,1,0,0,526,1019,2359,0,0
Returning Visitor,0,1,(direct) / (none),0,0,0,0,0,0,0,,DO,mobile,1,0,0,507,940,2388,0,0
Returning Visitor,0,1,(direct) / (none),0,0,0,0,0,0,0,,CH,desktop,0,0,1,495,744,2812,22,64321.37
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,RO,desktop,0,0,1,493,493,1148,0,0
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,AT,tablet,0,1,0,473,474,1886,0,0
Returning Visitor,0,1,(direct) / (none),0,0,0,0,0,0,0,,CH,mobile,1,0,0,470,978,2299,0,0
Returning Visitor,0,1,(direct) / (none),0,0,0,0,0,0,0,,CL,mobile,1,0,0,463,983,3692,0,0
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,PE,desktop,0,0,1,462,463,1232,0,0
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,DK,desktop,0,0,1,449,450,1248,4,7587.17
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,RU,tablet,0,1,0,399,398,1583,1,2480.62
Returning Visitor,0,1,(direct) / (none),0,0,0,0,0,0,0,,MX,desktop,0,0,1,398,848,3520,1,87936
Returning Visitor,0,1,(direct) / (none),0,0,0,0,0,0,0,,MX,tablet,0,1,0,390,793,1252,2,52575
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,CO,desktop,0,0,1,387,390,1240,1,2226
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,IE,tablet,0,1,0,376,377,1187,0,0
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,DO,tablet,0,1,0,375,380,1271,0,0
Returning Visitor,0,1,(direct) / (none),0,0,0,0,0,0,0,,AR,tablet,0,1,0,366,629,2370,0,0
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,ZZ,desktop,0,0,1,364,364,969,1,2369.68
Returning Visitor,0,1,(direct) / (none),0,0,0,0,0,0,0,,BE,desktop,0,0,1,362,644,2558,13,21002.16
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,UY,mobile,1,0,0,342,346,2413,0,0
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,HU,desktop,0,0,1,339,339,1048,1,373
Returning Visitor,0,1,(direct) / (none),0,0,0,0,0,0,0,,CL,desktop,0,0,1,336,530,2368,3,45408
Returning Visitor,0,1,(direct) / (none),0,0,0,0,0,0,0,,IT,mobile,1,0,0,334,602,1622,0,0
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,PE,mobile,1,0,0,333,333,1844,0,0
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,JM,mobile,1,0,0,332,332,1401,0,0
Returning Visitor,0,1,(direct) / (none),0,0,0,0,0,0,0,,CH,tablet,0,1,0,323,552,1802,0,0
Returning Visitor,0,1,(direct) / (none),0,0,0,0,0,0,0,,RU,desktop,0,0,1,309,565,2557,7,19260.59
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,MA,mobile,1,0,0,301,304,1075,0,0
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,CZ,desktop,0,0,1,300,301,867,0,0
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,SE,mobile,1,0,0,298,298,1036,0,0
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,MA,desktop,0,0,1,290,292,609,4,2086.5
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,NO,desktop,0,0,1,288,288,689,2,6230.37
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,RO,mobile,1,0,0,280,280,1101,0,0
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,CL,tablet,0,1,0,278,279,1429,0,0
Returning Visitor,0,1,(direct) / (none),0,0,0,0,0,0,0,,NL,desktop,0,0,1,270,398,1559,3,5276.62
Returning Visitor,0,1,(direct) / (none),0,0,0,0,0,0,0,,RU,mobile,1,0,0,270,597,1293,0,0
Returning Visitor,0,1,(direct) / (none),0,0,0,0,0,0,0,,PT,desktop,0,0,1,268,567,1425,3,36707.16
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,UY,desktop,0,0,1,266,267,908,0,0
Returning Visitor,0,1,(direct) / (none),0,0,0,0,0,0,0,,PT,mobile,1,0,0,265,487,1575,0,0
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,CO,mobile,1,0,0,259,259,1051,0,0
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,UA,desktop,0,0,1,250,250,816,1,340
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,IN,mobile,1,0,0,242,242,376,0,0
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,LU,desktop,0,0,1,237,237,562,1,998.1
Returning Visitor,0,1,(direct) / (none),0,0,0,0,0,0,0,,AT,desktop,0,0,1,232,329,1295,0,0
Returning Visitor,0,1,(direct) / (none),0,0,0,0,0,0,0,,BE,tablet,0,1,0,231,359,678,0,0
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,PL,mobile,1,0,0,223,224,937,0,0
Returning Visitor,0,1,(direct) / (none),0,0,0,0,0,0,0,,IT,desktop,0,0,1,222,310,1023,10,14809.44
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,DK,tablet,0,1,0,212,212,829,0,0
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,SK,desktop,0,0,1,209,209,610,0,0
Returning Visitor,0,1,(direct) / (none),0,0,0,0,0,0,0,,BE,mobile,1,0,0,203,408,972,0,0
Returning Visitor,0,1,(direct) / (none),0,0,0,0,0,0,0,,NL,mobile,1,0,0,200,328,958,0,0
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,DK,mobile,1,0,0,195,195,617,1,2788.36
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,IL,desktop,0,0,1,189,190,424,1,1546.46
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,FI,desktop,0,0,1,188,188,512,4,8992.96
Returning Visitor,0,1,(direct) / (none),0,0,0,0,0,0,0,,NL,tablet,0,1,0,178,305,723,0,0
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,ZZ,mobile,1,0,0,177,177,333,0,0
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,IS,desktop,0,0,1,175,176,386,0,0
Returning Visitor,0,1,(direct) / (none),0,0,0,0,0,0,0,,AT,mobile,1,0,0,172,360,1178,0,0
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,JM,desktop,0,0,1,162,162,426,0,0
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,IN,desktop,0,0,1,161,161,367,0,0
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,SE,tablet,0,1,0,159,160,491,0,0
Returning Visitor,0,1,(direct) / (none),0,0,0,0,0,0,0,,IT,tablet,0,1,0,154,262,562,0,0
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,AU,desktop,0,0,1,153,153,348,0,0
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,TN,desktop,0,0,1,152,152,326,0,0
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,CU,desktop,0,0,1,150,152,277,8,3939.61
Returning Visitor,0,1,(direct) / (none),0,0,0,0,0,0,0,,IE,mobile,1,0,0,148,343,751,0,0
Returning Visitor,0,1,(direct) / (none),0,0,0,0,0,0,0,,RU,tablet,0,1,0,148,316,773,0,0
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,LV,desktop,0,0,1,146,146,396,0,0
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,VE,desktop,0,0,1,146,146,327,0,0
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,HU,mobile,1,0,0,145,145,636,0,0
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,PR,mobile,1,0,0,142,142,701,0,0
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,LT,desktop,0,0,1,141,141,417,0,0
Returning Visitor,0,1,(direct) / (none),0,0,0,0,0,0,0,,UY,mobile,1,0,0,136,290,1112,0,0
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,CV,mobile,1,0,0,134,134,360,0,0
Returning Visitor,0,1,(direct) / (none),0,0,0,0,0,0,0,,AT,tablet,0,1,0,130,178,707,0,0
Returning Visitor,0,1,(direct) / (none),0,0,0,0,0,0,0,,DO,tablet,0,1,0,127,298,527,0,0
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,TR,desktop,0,0,1,124,124,200,0,0
Returning Visitor,0,1,(direct) / (none),0,0,0,0,0,0,0,,PL,desktop,0,0,1,123,188,625,1,553.82
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,NO,mobile,1,0,0,122,122,375,0,0
Returning Visitor,0,1,(direct) / (none),0,0,0,0,0,0,0,,PT,tablet,0,1,0,122,190,470,0,0
Returning Visitor,0,1,(direct) / (none),0,0,0,0,0,0,0,,PE,mobile,1,0,0,121,258,720,0,0
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,RO,tablet,0,1,0,118,118,449,0,0
Returning Visitor,0,1,(direct) / (none),0,0,0,0,0,0,0,,CL,tablet,0,1,0,116,201,607,0,0
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,CZ,mobile,1,0,0,115,115,530,0,0
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,UA,mobile,1,0,0,114,114,445,0,0
Returning Visitor,0,1,(direct) / (none),0,0,0,0,0,0,0,,DO,desktop,0,0,1,114,585,1419,1,2085
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,NO,tablet,0,1,0,113,113,348,1,2522.1
Returning Visitor,0,1,(direct) / (none),0,0,0,0,0,0,0,,MA,mobile,1,0,0,109,229,218,0,0
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,EE,desktop,0,0,1,106,106,305,0,0
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,TN,mobile,1,0,0,105,105,422,0,0
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,VE,mobile,1,0,0,104,104,485,0,0
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,SK,mobile,1,0,0,103,103,495,0,0
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,LU,mobile,1,0,0,102,102,511,0,0
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,IL,mobile,1,0,0,101,101,361,0,0
Returning Visitor,0,1,(direct) / (none),0,0,0,0,0,0,0,,JM,mobile,1,0,0,100,164,379,0,0
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,PL,tablet,0,1,0,99,99,313,0,0
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,BG,desktop,0,0,1,96,96,235,0,0
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,JM,tablet,0,1,0,96,97,302,0,0
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,RS,desktop,0,0,1,88,88,198,0,0
Returning Visitor,0,1,(direct) / (none),0,0,0,0,0,0,0,,IE,desktop,0,0,1,88,158,512,0,0
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,UY,tablet,0,1,0,83,84,402,0,0
Returning Visitor,0,1,(direct) / (none),0,0,0,0,0,0,0,,HU,desktop,0,0,1,82,433,928,1,3053.58
Returning Visitor,0,1,(direct) / (none),0,0,0,0,0,0,0,,RO,desktop,0,0,1,82,122,343,0,0
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,PE,tablet,0,1,0,81,82,471,0,0
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,FI,tablet,0,1,0,80,80,191,0,0
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,HU,tablet,0,1,0,79,79,252,0,0
Returning Visitor,0,1,(direct) / (none),0,0,0,0,0,0,0,,IE,tablet,0,1,0,79,179,296,0,0
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,AU,mobile,1,0,0,78,78,439,0,0
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,BY,desktop,0,0,1,78,78,236,1,2909.48
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,FI,mobile,1,0,0,77,77,375,0,0
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,LU,tablet,0,1,0,77,78,277,0,0
Returning Visitor,0,1,(direct) / (none),0,0,0,0,0,0,0,,DK,desktop,0,0,1,75,112,350,2,4548.05
Returning Visitor,0,1,(direct) / (none),0,0,0,0,0,0,0,,SE,desktop,0,0,1,75,120,386,1,2009.61
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,CZ,tablet,0,1,0,74,74,240,0,0
Returning Visitor,0,1,(direct) / (none),0,0,0,0,0,0,0,,MA,desktop,0,0,1,74,214,467,8,4259.42
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,PY,mobile,1,0,0,73,73,450,0,0
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,KE,mobile,1,0,0,66,66,99,0,0
Returning Visitor,0,1,(direct) / (none),0,0,0,0,0,0,0,,CV,mobile,1,0,0,66,463,952,0,0
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,GR,desktop,0,0,1,63,63,117,0,0
Returning Visitor,0,1,(direct) / (none),0,0,0,0,0,0,0,,RO,mobile,1,0,0,63,113,436,0,0
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,LT,mobile,1,0,0,61,61,292,0,0
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,CV,tablet,0,1,0,60,60,114,0,0
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,DZ,desktop,0,0,1,60,60,107,1,850.5
Returning Visitor,0,1,(direct) / (none),0,0,0,0,0,0,0,,CO,mobile,1,0,0,60,127,427,0,0
Returning Visitor,0,1,(direct) / (none),0,0,0,0,0,0,0,,SE,mobile,1,0,0,59,94,413,0,0
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,DZ,mobile,1,0,0,58,58,195,0,0
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,CU,mobile,1,0,0,56,57,461,0,0
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,PY,desktop,0,0,1,56,56,166,0,0
Returning Visitor,0,1,(direct) / (none),0,0,0,0,0,0,0,,CO,desktop,0,0,1,56,99,441,0,0
Returning Visitor,0,1,(direct) / (none),0,0,0,0,0,0,0,,PE,desktop,0,0,1,55,89,360,0,0
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,CO,tablet,0,1,0,54,54,222,1,2842
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,MA,tablet,0,1,0,53,54,123,0,0
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,SI,desktop,0,0,1,53,53,130,0,0
Returning Visitor,0,1,(direct) / (none),0,0,0,0,0,0,0,,CZ,desktop,0,0,1,53,83,227,1,5628.12
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,AE,desktop,0,0,1,52,52,118,1,187.2
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,CN,desktop,0,0,1,52,53,78,0,0
Returning Visitor,0,1,(direct) / (none),0,0,0,0,0,0,0,,PL,mobile,1,0,0,52,68,203,0,0
Returning Visitor,0,1,(direct) / (none),0,0,0,0,0,0,0,,SK,desktop,0,0,1,51,82,230,0,0
Returning Visitor,0,1,(direct) / (none),0,0,0,0,0,0,0,,UA,desktop,0,0,1,51,78,351,2,3371.01
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,AU,tablet,0,1,0,50,50,209,0,0
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,CR,desktop,0,0,1,50,50,125,0,0
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,KR,desktop,0,0,1,50,50,112,0,0
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,RS,mobile,1,0,0,50,50,132,0,0
Returning Visitor,0,1,(direct) / (none),0,0,0,0,0,0,0,,UY,desktop,0,0,1,50,71,323,0,0
Returning Visitor,0,1,(direct) / (none),0,0,0,0,0,0,0,,DK,tablet,0,1,0,49,84,330,0,0
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,BO,mobile,1,0,0,48,48,258,0,0
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,EC,desktop,0,0,1,48,49,78,0,0
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,PA,desktop,0,0,1,48,48,99,3,88672
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,LV,mobile,1,0,0,46,46,216,0,0
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,SK,tablet,0,1,0,46,46,125,0,0
Returning Visitor,0,1,(direct) / (none),0,0,0,0,0,0,0,,UA,mobile,1,0,0,46,133,304,0,0
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,JP,desktop,0,0,1,45,45,82,0,0
Returning Visitor,0,1,(direct) / (none),0,0,0,0,0,0,0,,SE,tablet,0,1,0,45,77,190,0,0
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,PH,desktop,0,0,1,44,44,103,0,0
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,BG,mobile,1,0,0,43,43,239,0,0
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,PR,desktop,0,0,1,42,43,202,0,0
New Visitor,1,0,(direct) / (none),0,0,0,0,0,0,0,,UA,tablet,0,1,0,42,43,184,0,0
