Tipo de usuario,Fuente/medio,Código ISO del país,Categoría de dispositivo,Usuarios,Sesiones,Número de páginas vistas,Transacciones,Ingresos
Returning Visitor,google / cpc,BR,desktop,3538,5179,21534,35,216213
New Visitor,(direct) / (none),AR,mobile,3511,3519,22244,0,0
Returning Visitor,(direct) / (none),ES,mobile,3476,7015,19977,16,5777.08
New Visitor,(direct) / (none),CH,desktop,3440,3441,10079,27,83596.7
Returning Visitor,dfa / cpc,DE,mobile,3371,6034,16927,0,0
New Visitor,dfa / cpc,ES,tablet,3122,3123,7155,0,0
Returning Visitor,(direct) / (none),BR,mobile,3044,5520,17173,4,24903.6
New Visitor,(direct) / (none),MX,desktop,2989,2996,7989,13,341553.9
Returning Visitor,bing / organic,US,desktop,2982,4926,22992,21,52731.47
New Visitor,google / cpc,MX,desktop,2967,2979,11200,1,25488
New Visitor,google / organic,FR,tablet,2920,2928,11968,0,0
Returning Visitor,google / organic,CA,mobile,2848,4787,27779,0,0
New Visitor,(direct) / (none),BR,tablet,2817,2826,10365,1,3700.8
New Visitor,bing / organic,CA,desktop,2731,2741,10943,0,0
Returning Visitor,dfa / cpc,ES,tablet,2672,6159,13421,0,0
Returning Visitor,google / organic,MX,desktop,2637,4112,16936,15,278226.12
New Visitor,dfa / cpm,US,mobile,2622,2623,4145,0,0
New Visitor,google / organic,NL,desktop,2427,2430,7579,1,509.5
Returning Visitor,google / cpc,FR,desktop,2426,4438,18199,46,84063.54
New Visitor,google / cpc,CH,desktop,2338,2341,8885,6,10090.1
New Visitor,(direct) / (none),BE,desktop,2333,2338,5825,10,12105.39
New Visitor,(direct) / (none),FR,tablet,2327,2332,8136,1,2116.12
Returning Visitor,google / organic,CH,desktop,2327,3857,17247,37,85132.91
Returning Visitor,(direct) / (none),US,tablet,2305,3788,13219,1,2229.38
New Visitor,dsps / display,US,mobile,2294,2297,6557,0,0
New Visitor,google / cpc,BE,desktop,2283,2286,8056,7,12710.51
New Visitor,google / organic,BR,tablet,2269,2289,11463,0,0
Returning Visitor,google / organic,FR,tablet,2263,4687,23094,2,3634.74
Returning Visitor,(direct) / (none),DE,tablet,2184,3375,13612,2,2776.76
Returning Visitor,(direct) / (none),GB,mobile,2177,3971,10714,3,10108.33
Returning Visitor,(direct) / (none),DE,mobile,2176,3990,10771,2,1859.15
New Visitor,google / organic,DO,desktop,2151,2159,7285,1,716
New Visitor,(direct) / (none),IT,desktop,2143,2150,5238,7,8000.56
New Visitor,google / organic,AT,desktop,2097,2099,8008,2,2010.6
New Visitor,(direct) / (none),PT,desktop,2064,2073,4980,5,11072.39
New Visitor,(direct) / (none),RU,desktop,2061,2063,4883,4,10061.18
Returning Visitor,google / organic,PT,desktop,2025,3452,11739,4,3102.56
New Visitor,google / organic,DO,mobile,1981,1990,12828,0,0
New Visitor,bing / organic,GB,desktop,1965,1969,6817,6,10517.83
New Visitor,yahoo / organic,US,mobile,1962,1967,14858,0,0
Returning Visitor,google / organic,CL,desktop,1935,3440,15641,17,33336.55
New Visitor,google / cpc,CA,desktop,1933,1944,8048,0,0
Returning Visitor,google / organic,MX,mobile,1929,3075,18061,0,0
New Visitor,(direct) / (none),FR,mobile,1924,1930,8733,1,1017.37
New Visitor,dfa / cpc,FR,tablet,1910,1912,4548,0,0
New Visitor,dfa / cpm,ES,mobile,1909,1910,3143,0,0
Returning Visitor,dfa / cpc,US,desktop,1876,2816,14064,21,61435.31
Returning Visitor,yahoo / organic,US,desktop,1842,2860,14465,15,37283.7
New Visitor,(direct) / (none),NL,desktop,1780,1782,4689,5,5017.19
New Visitor,dfa / cpm,US,desktop,1749,1751,4000,8,6008.96
New Visitor,(direct) / (none),MX,tablet,1745,1750,5797,0,0
New Visitor,Holidaycheck / referral,DE,desktop,1745,1750,5761,1,700.24
New Visitor,google / organic,PE,desktop,1736,1746,6252,0,0
New Visitor,dfa / cpc,GB,mobile,1722,1725,4463,0,0
Returning Visitor,(direct) / (none),ES,desktop,1702,3127,12016,117,164244.41
Returning Visitor,(direct) / (none),GB,tablet,1681,2839,6955,4,3980.64
Returning Visitor,dfa / cpc,FR,tablet,1671,3878,8596,0,0
New Visitor,bing / organic,DE,desktop,1665,1666,6481,2,2084.12
Returning Visitor,(direct) / (none),CA,mobile,1662,2750,9678,0,0
Returning Visitor,(direct) / (none),MX,mobile,1647,2923,9088,2,28083
New Visitor,(direct) / (none),CL,desktop,1646,1652,5875,5,40554.3
New Visitor,google / organic,CL,mobile,1635,1643,13536,0,0
Returning Visitor,google / organic,AR,mobile,1635,2774,21162,0,0
New Visitor,m.facebook.com / referral,US,mobile,1626,1629,3810,0,0
New Visitor,google / organic,FR,mobile,1622,1622,8594,1,382.29
New Visitor,email / email,DE,desktop,1613,1615,4630,0,0
Returning Visitor,google / organic,BE,desktop,1611,2506,10849,28,63675.85
Returning Visitor,google / organic,BR,tablet,1603,2680,10120,0,0
New Visitor,google / organic,CH,tablet,1580,1584,7703,0,0
New Visitor,dsps / display,US,desktop,1573,1574,5841,0,0
New Visitor,(direct) / (none),AT,desktop,1570,1570,4685,6,9029.86
New Visitor,dfa / cpc,FR,mobile,1554,1554,5263,0,0
New Visitor,images.google.fr / referral,FR,desktop,1541,1541,1694,0,0
New Visitor,yahoo / organic,US,tablet,1502,1511,8147,0,0
New Visitor,(direct) / (none),DO,mobile,1497,1506,7799,0,0
Returning Visitor,google / organic,IT,desktop,1482,2450,9894,19,31760.49
New Visitor,TripAdvisor / referral,GB,desktop,1481,1488,3855,3,2283.76
Returning Visitor,google / cpc,MX,desktop,1470,2341,9687,3,56719
New Visitor,dfa / cpm,FR,desktop,1460,1460,1858,0,0
New Visitor,dfa / cpc,GB,desktop,1459,1465,4975,2,4026.5
New Visitor,(direct) / (none),CH,mobile,1405,1406,6064,0,0
New Visitor,(direct) / (none),IT,mobile,1402,1404,6731,0,0
Returning Visitor,email / email,DE,desktop,1400,1942,6929,10,17589.01
New Visitor,google / organic,AR,tablet,1383,1392,8305,0,0
New Visitor,google / organic,CH,mobile,1371,1376,8901,0,0
Returning Visitor,google / cpc,CH,desktop,1371,2405,10774,46,93152.82
Returning Visitor,(direct) / (none),AR,mobile,1360,2820,9380,0,0
New Visitor,google / organic,CO,desktop,1311,1321,4265,0,0
New Visitor,google / organic,MX,tablet,1307,1310,5791,1,48108
Returning Visitor,(direct) / (none),GB,desktop,1304,1784,5019,31,74064.19
Returning Visitor,(direct) / (none),CA,tablet,1300,2153,6108,0,0
New Visitor,google / organic,PT,mobile,1271,1279,7243,0,0
Returning Visitor,google / cpc,BE,desktop,1270,2212,9196,29,63492.62
New Visitor,google / organic,IT,mobile,1268,1272,8536,0,0
New Visitor,google / cpc,US,tablet,1266,1276,7008,0,0
Returning Visitor,google / organic,CH,tablet,1249,2577,10958,1,1160.75
New Visitor,Facebook / Page-Post-Link,US,mobile,1245,1245,1432,0,0
New Visitor,google / cpc,NL,desktop,1240,1241,3765,0,0
Returning Visitor,google / organic,FR,mobile,1238,2196,16567,0,0
New Visitor,dfa / cpc,BR,tablet,1225,1229,3342,0,0
New Visitor,google / organic,IE,desktop,1222,1226,4206,3,14539.9
New Visitor,google / organic,BE,tablet,1212,1215,5031,0,0
New Visitor,(direct) / (none),CL,mobile,1186,1195,7338,0,0
New Visitor,google / organic,PL,desktop,1182,1183,3471,1,579.2
New Visitor,trivago.de / referral,DE,desktop,1177,1177,2099,5,3743.22
New Visitor,(direct) / (none),CH,tablet,1173,1174,4587,1,3628.29
New Visitor,google / organic,IT,tablet,1154,1156,4740,1,1330.38
New Visitor,(direct) / (none),PT,mobile,1130,1137,4928,0,0
New Visitor,google / cpc,AT,desktop,1128,1129,4268,2,4938.8
New Visitor,dfa / cpm,US,tablet,1073,1073,1784,0,0
New Visitor,tripadvisor / cpc,RU,desktop,1064,1065,1361,0,0
New Visitor,trivago.es / referral,ES,desktop,1064,1065,1657,7,4917.63
New Visitor,google / cpc,PT,desktop,1061,1069,3697,1,2161.41
Returning Visitor,(direct) / (none),BR,desktop,1059,2370,7199,21,159718.05
New Visitor,images.google.de / referral,DE,desktop,1045,1046,2002,0,0
New Visitor,google / organic,NL,mobile,1034,1036,5074,0,0
New Visitor,google / organic,NL,tablet,1032,1035,4341,0,0
Returning Visitor,google / organic,CH,mobile,1032,1878,12583,0,0
Returning Visitor,(direct) / (none),ES,tablet,1031,1857,5317,0,0
Returning Visitor,dfa / cpc,GB,mobile,1030,1759,5103,0,0
